,Air Temperature °F,Avg. Wind Direction °,Avg. Wind Speed mph,Dew Point °F,Freeze Point #3 °F,Freeze Point 1 °F,Freeze Point 2 °F,Freeze Point Approach °F,Freeze Point Bridge A °F,Freeze Point Bridge [index],Freeze Point Bridge °F,Freeze Point °F,Freezing Temp. Approach °F,Freezing Temperature Approach °F,Freezing Temperature °F,Friction Approach N/A,Friction Bridge N/A,Friction N/A,Gust Wind Direction °,Gust Wind Speed mph,Max Air Temperature °F,Min Air Temperature °F,Precipitation End Time timestamp,Precipitation Situation [logic],Precipitation Start Time timestamp,Precipitation Yes/No [logic],Rel. Humidity %,Road Condition # 3 [logic],Road Condition 1 [logic],Road Condition 2 [logic],Road Condition Approach [logic],Road Condition Bridge A [logic],Road Condition Bridge [logic],Road Condition [logic],Road Temp #3 °F,Road Temp Bridge °F,Road Temp. 1 °F,Road Temp. 2 °F,Road Temp. Approach °F,Road Temp. Bridge A °F,Road Temp. Bridge °F,Road Temperature Approach °F,Road Temperature Bridge °F,Saline Concentration %,Saline Concentration Approach %,Saline Concentration Bridge  %,Saline Concentration Bridge %,Saline Concentration Bridge [rate],Spot Wind Direction °,Sub Surface Temperature °F,SubSurface Temperature °F,Subsurface Temperature  °F,Subsurface Temperature 1 °F,Subsurface Temperature Approach °F,Surface Salinity #3 %,Surface Salinity 1 %,Surface Salinity 2 %,Surface Salinity Approach %,Surface Salinity Bridge %,Surface Salinity Bridge A %,Surface Temperature Approach °F,Surface Temperature °F,Visibility m,Water Film  Approach mil,Water Film  mil,Water Film Approach mil,Water Film Height Approach mil,Water Film Height Bridge mil,WaterFilm Height Bridge mil,Wet Bulb Temperature °F,Wind Speed mph,date_time
,35.06,95.00,4.92,15.62,,,,,,,,,,,,,,,112.00,7.38,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,73.00,,,,,,,,,,,,,,,,,,,,,29.84,4.92,2016/04/14 11:30:00
,35.06,85.00,4.92,15.62,,,,,,,,,,,,,,,87.00,7.16,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,88.00,,,,,,,,,,,,,,,,,,,,,29.84,4.70,2016/04/14 11:41:00
,35.60,90.00,6.26,15.98,,,,,,,,,,,,,,,87.00,8.50,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,96.00,,,,,,,,,,,,,,,,,,,,,30.20,5.59,2016/04/14 11:51:00
,35.96,95.00,6.26,16.52,,,,,,,,,,,,,,,91.00,7.61,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,94.00,,,,,,,,,,,,,,,,,,,,,30.56,6.26,2016/04/14 12:01:00
,37.22,95.00,5.37,17.60,,,,,,,,,,,,,,,91.00,8.72,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,,,,,,,,31.64,6.71,2016/04/14 12:11:00
,37.58,105.00,5.14,17.96,,,,,,,,,,,,,,,93.00,8.95,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,32.00,4.70,2016/04/14 12:20:00
,38.30,95.00,5.14,18.68,,,,,,,,,,,,,,,84.00,7.61,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,,,,,,,,32.54,7.16,2016/04/14 12:31:00
,,,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/04/14 12:40:00
,38.84,105.00,,19.04,,,,,,,,,,,,,,,100.00,8.28,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,110.00,,,,,,,,,,,,,,,,,,,,,33.08,6.49,2016/04/14 12:41:00
,39.92,110.00,6.04,20.12,,,,,,,,,,,,,,,116.00,10.07,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,111.00,,,,,,,,,,,,,,,,,,,,,33.98,8.95,2016/04/14 12:50:00
,40.46,105.00,7.61,20.66,,,,,,,,,,,,,,,87.00,10.29,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,93.00,,,,,,,,,,,,,,,,,,,,,34.34,6.49,2016/04/14 13:01:00
,41.36,110.00,8.05,21.38,,,,,,,,,,,,,,,110.00,10.96,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,,,,,,,,35.06,7.16,2016/04/14 13:11:00
,42.26,130.00,7.61,22.28,,,,,,,,,,,,,,,140.00,12.08,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,128.00,,,,,,,,,,,,,,,,,,,,,35.78,8.72,2016/04/14 13:21:00
,43.16,105.00,8.05,23.18,,,,,,,,,,,,,,,118.00,11.41,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,114.00,,,,,,,,,,,,,,,,,,,,,36.68,8.50,2016/04/14 13:30:00
,44.06,125.00,10.96,23.90,,,,,,,,,,,,,,,121.00,15.43,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,133.00,,,,,,,,,,,,,,,,,,,,,37.22,11.86,2016/04/14 13:41:00
,44.42,115.00,10.74,24.26,,,,,,,,,,,,,,,119.00,16.11,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,122.00,,,,,,,,,,,,,,,,,,,,,37.58,7.38,2016/04/14 13:51:00
,45.14,120.00,10.96,24.98,,,,,,,,,,,,,,,122.00,14.54,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,92.00,,,,,,,,,,,,,,,,,,,,,38.30,10.29,2016/04/14 14:01:00
,46.04,100.00,10.51,25.70,,,,,,,,,,,,,,,126.00,13.87,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,84.00,,,,,,,,,,,,,,,,,,,,,39.02,9.62,2016/04/14 14:10:00
,47.12,130.00,6.93,26.78,,,,,,,,,,,,,,,101.00,11.86,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,139.00,,,,,,,,,,,,,,,,,,,,,39.74,8.28,2016/04/14 14:21:00
,47.84,150.00,8.50,27.32,,,,,,,,,,,,,,,105.00,10.96,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,150.00,,,,,,,,,,,,,,,,,,,,,40.46,8.95,2016/04/14 14:31:00
,48.92,140.00,8.50,28.40,,,,,,,,,,,,,,,159.00,14.76,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,159.00,,,,,,,,,,,,,,,,,,,,,41.36,12.97,2016/04/14 14:41:00
,48.56,135.00,11.86,28.04,,,,,,,,,,,,,,,140.00,15.43,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,139.00,,,,,,,,,,,,,,,,,,,,,41.00,8.50,2016/04/14 14:50:00
,49.64,105.00,10.07,28.94,,,,,,,,,,,,,,,130.00,14.76,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,131.00,,,,,,,,,,,,,,,,,,,,,41.90,9.62,2016/04/14 15:01:00
,50.54,140.00,7.16,29.84,,,,,,,,,,,,,,,97.00,15.66,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,111.00,,,,,,,,,,,,,,,,,,,,,42.62,9.17,2016/04/14 15:10:00
,50.90,130.00,8.95,30.02,,,,,,,,,,,,,,,118.00,13.87,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,128.00,,,,,,,,,,,,,,,,,,,,,42.80,8.05,2016/04/14 15:21:00
,51.08,120.00,9.40,30.38,,,,,,,,,,,,,,,112.00,16.78,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,122.00,,,,,,,,,,,,,,,,,,,,,42.98,10.74,2016/04/14 15:30:00
,51.44,115.00,9.84,30.56,,,,,,,,,,,,,,,140.00,14.09,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,107.00,,,,,,,,,,,,,,,,,,,,,43.34,7.16,2016/04/14 15:41:00
,51.98,115.00,8.72,31.10,,,,,,,,,,,,,,,132.00,14.54,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,159.00,,,,,,,,,,,,,,,,,,,,,43.70,9.84,2016/04/14 15:50:00
,51.98,125.00,10.07,31.10,,,,,,,,,,,,,,,149.00,12.97,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,137.00,,,,,,,,,,,,,,,,,,,,,43.70,9.40,2016/04/14 16:01:00
,52.88,135.00,6.93,32.00,,,,,,,,,,,,,,,97.00,15.43,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,140.00,,,,,,,,,,,,,,,,,,,,,44.42,6.26,2016/04/14 16:10:00
,53.60,150.00,8.28,32.72,,,,,,,,,,,,,,,101.00,13.20,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,160.00,,,,,,,,,,,,,,,,,,,,,45.14,7.83,2016/04/14 16:20:00
,53.96,135.00,9.40,32.90,,,,,,,,,,,,,,,154.00,14.09,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,133.00,,,,,,,,,,,,,,,,,,,,,45.32,10.96,2016/04/14 16:31:00
,54.50,145.00,10.07,33.44,,,,,,,,,,,,,,,151.00,13.65,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,145.00,,,,,,,,,,,,,,,,,,,,,45.68,10.51,2016/04/14 16:40:00
,55.22,90.00,10.07,33.98,,,,,,,,,,,,,,,99.00,12.75,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,89.00,,,,,,,,,,,,,,,,,,,,,46.22,10.74,2016/04/14 16:51:00
,55.22,100.00,6.04,33.98,,,,,,,,,,,,,,,85.00,13.42,55.76,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,359.00,,,,,,,,,,,,,,,,,,,,,46.22,0.67,2016/04/14 17:01:00
,56.30,135.00,5.82,35.06,,,,,,,,,,,,,,,98.00,12.53,56.48,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,106.00,,,,,,,,,,,,,,,,,,,,,47.12,5.14,2016/04/14 17:11:00
,56.12,120.00,8.95,34.88,,,,,,,,,,,,,,,141.00,11.86,56.84,34.52,,,Error,2.00,,,,,,,,,,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,,,,,,,,47.12,8.50,2016/04/14 17:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/04/14 17:21:00
,57.02,115.00,6.93,35.78,,,,,,,,,,,,,,,117.00,12.30,57.20,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,128.00,,,,,,,,,,,,,,,,,,,,,47.84,11.86,2016/04/14 17:30:00
,57.20,100.00,5.14,35.96,,,,,,,,,,,,,,,93.00,14.32,57.38,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,146.00,,,,,,,,,,,,,,,,,,,,,48.02,3.36,2016/04/14 17:41:00
,57.20,90.00,7.61,35.96,,,,,,,,,,,,,,,98.00,14.54,57.92,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,82.00,,,,,,,,,,,,,,,,,,,,,48.02,8.05,2016/04/14 17:51:00
,58.28,160.00,6.49,37.04,,,,,,,,,,,,,,,122.00,15.88,58.28,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,48.92,15.43,2016/04/14 18:01:00
,58.64,80.00,6.71,37.40,,,,,,,,,,,,,,,119.00,13.87,59.36,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,157.00,,,,,,,,,,,,,,,,,,,,,49.10,6.71,2016/04/14 18:11:00
,58.28,145.00,7.61,37.04,,,,,,,,,,,,,,,145.00,13.65,59.36,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,140.00,,,,,,,,,,,,,,,,,,,,,48.92,5.82,2016/04/14 18:20:00
,59.00,145.00,9.62,37.58,,,,,,,,,,,,,,,95.00,15.66,59.36,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,144.00,,,,,,,,,,,,,,,,,,,,,49.28,10.74,2016/04/14 18:31:00
,59.36,140.00,9.17,38.12,,,,,,,,,,,,,,,107.00,14.76,59.54,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,124.00,,,,,,,,,,,,,,,,,,,,,49.64,11.18,2016/04/14 18:41:00
,59.72,90.00,4.92,38.30,,,,,,,,,,,,,,,118.00,11.63,60.26,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,117.00,,,,,,,,,,,,,,,,,,,,,50.00,7.61,2016/04/14 18:50:00
,60.26,135.00,8.05,38.84,,,,,,,,,,,,,,,109.00,14.76,60.62,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,132.00,,,,,,,,,,,,,,,,,,,,,50.36,9.17,2016/04/14 19:01:00
,60.08,105.00,10.51,38.66,,,,,,,,,,,,,,,147.00,14.32,60.62,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,93.00,,,,,,,,,,,,,,,,,,,,,50.18,9.17,2016/04/14 19:10:00
,60.98,120.00,4.92,39.38,,,,,,,,,,,,,,,148.00,14.54,61.16,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,113.00,,,,,,,,,,,,,,,,,,,,,50.90,6.04,2016/04/14 19:21:00
,61.34,130.00,9.40,39.74,,,,,,,,,,,,,,,131.00,15.43,61.52,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,134.00,,,,,,,,,,,,,,,,,,,,,51.26,10.07,2016/04/14 19:31:00
,62.06,100.00,6.49,40.46,,,,,,,,,,,,,,,130.00,12.08,62.24,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,115.00,,,,,,,,,,,,,,,,,,,,,51.80,7.16,2016/04/14 19:41:00
,61.88,105.00,5.37,40.28,,,,,,,,,,,,,,,102.00,12.53,62.60,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,,,,,,,,51.62,6.49,2016/04/14 19:50:00
,62.24,160.00,9.17,40.64,,,,,,,,,,,,,,,147.00,15.21,62.78,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,148.00,,,,,,,,,,,,,,,,,,,,,51.98,7.16,2016/04/14 20:01:00
,62.42,155.00,10.29,40.82,,,,,,,,,,,,,,,135.00,14.76,63.32,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,148.00,,,,,,,,,,,,,,,,,,,,,52.16,7.38,2016/04/14 20:11:00
,61.70,135.00,8.05,40.28,,,,,,,,,,,,,,,147.00,14.76,63.32,34.52,,,Error,2.00,44.00,,,,,,,,,,,,,,,,,,,,,,125.00,,,,,,,,,,,,,,,,,,,,,51.62,6.26,2016/04/14 20:21:00
,75.38,75.00,6.04,46.22,,,,,,,,,,,,,,,85.00,11.86,75.38,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,35.00,,,,3.00,,3.00,,,,,,103.64,,101.48,,,,,,,,71.00,,59.18,,,,,,,,,,,,,,,,,,,60.08,5.14,2016/04/14 19:00:00
,75.38,100.00,8.28,46.04,,,,,,,,,,,,,,,93.00,11.18,75.56,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,35.00,,,,3.00,,3.00,,,,,,103.82,,100.94,,,,,,,,79.00,,59.18,,,,,,,,,,,,,,,,,,,60.08,5.59,2016/04/14 19:10:00
,75.92,75.00,4.47,46.76,,,,,,,,,,,,,,,144.00,8.95,75.92,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,35.00,,,,3.00,,3.00,,,,,,103.10,,101.66,,,,,,,,110.00,,59.18,,,,,,,,,,,,,,,,,,,60.62,6.49,2016/04/14 19:20:00
,75.56,95.00,6.04,46.58,,,,,,,,,,,,,,,123.00,10.29,76.28,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,35.00,,,,3.00,,3.00,,,,,,103.28,,101.66,,,,,,,,97.00,,59.36,,,,,,,,,,,,,,,,,,,60.26,6.04,2016/04/14 19:30:00
,75.74,120.00,5.37,46.94,,,,,,,,,,,,,,,102.00,12.97,76.28,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,36.00,,,,3.00,,3.00,,,,,,102.02,,100.58,,,,,,,,128.00,,59.36,,,,,,,,,,,,,,,,,,,60.44,2.46,2016/04/14 19:40:00
,76.46,95.00,5.14,47.30,,,,,,,,,,,,,,,87.00,9.84,76.46,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,35.00,,,,3.00,,3.00,,,,,,102.74,,100.40,,,,,,,,106.00,,59.36,,,,,,,,,,,,,,,,,,,60.98,8.28,2016/04/14 19:50:00
,76.46,95.00,4.25,46.94,,,,,,,,,,,,,,,80.00,12.08,76.64,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,35.00,,,,3.00,,3.00,,,,,,102.74,,100.22,,,,,,,,86.00,,59.36,,,,,,,,,,,,,,,,,,,60.80,6.71,2016/04/14 20:00:00
,76.64,105.00,3.80,46.94,,,,,,,,,,,,,,,75.00,13.20,76.64,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,34.00,,,,3.00,,3.00,,,,,,100.94,,99.50,,,,,,,,114.00,,59.36,,,,,,,,,,,,,,,,,,,60.98,5.14,2016/04/14 20:10:00
,76.28,120.00,6.93,47.48,,,,,,,,,,,,,,,106.00,11.41,76.82,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,36.00,,,,3.00,,3.00,,,,,,100.58,,99.14,,,,,,,,136.00,,59.36,,,,,,,,,,,,,,,,,,,60.80,7.16,2016/04/14 20:20:00
,76.46,80.00,4.92,47.66,,,,,,,,,,,,,,,117.00,8.05,76.82,47.66,2011/01/04 04:15:50,,2011/01/04 04:11:33,2.00,36.00,,,,1.00,,3.00,,,,,,100.22,,98.78,,,,,,,,79.00,,59.36,,,,,,,,,,,,,,,,,,,60.98,3.58,2016/04/14 20:30:00
,58.10,40.00,11.86,28.40,,,,,,,,,,,,,,,89.00,18.79,58.46,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,31.00,,,,3.00,,,,,,,,86.36,,,,,,,,,,41.00,,,,,,,,,,,,,,,,,,,,,47.12,13.20,2016/04/14 19:00:00
,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,10.00,,,83.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,2016/04/14 19:01:00
,58.46,85.00,12.97,28.22,,,,,,,,,,,,,0.82,,72.00,16.78,58.64,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,31.00,,,,3.00,,10.00,,,83.75,,,85.82,,,,,,,,,,90.00,,,,,,,,,,,,,,,,,,,,0.00,47.30,10.51,2016/04/14 19:10:00
,59.54,40.00,12.30,29.66,,,,,,,,,,,,,,,40.00,16.55,59.90,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,31.00,,,,3.00,,,,,,,,85.28,,,,,,,,,,56.00,,,,,,,,,,,,,,,,,,,,,48.02,10.96,2016/04/14 19:20:00
,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,10.00,,,83.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,2016/04/14 19:21:00
,59.90,60.00,11.41,29.48,,,,,,,,,,,,,,,77.00,16.33,60.62,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,31.00,,,,3.00,,,,,,,,85.64,,,,,,,,,,87.00,,,,,,,,,,,,,,,,,,,,,48.20,13.65,2016/04/14 19:30:00
,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,10.00,,,83.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,2016/04/14 19:31:00
,58.28,65.00,10.29,29.48,,,,,,,,,,,,,,,70.00,16.33,60.62,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,33.00,,,,3.00,,,,,,,,84.92,,,,,,,,,,58.00,,,,,,,,,,,,,,,,,,,,,47.30,10.51,2016/04/14 19:40:00
,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,10.00,,,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,2016/04/14 19:41:00
,59.00,55.00,10.29,30.20,,,,,,,,,,,,,,,73.00,19.01,60.62,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,33.00,,,,3.00,,,,,,,,84.38,,,,,,,,,,44.00,,,,,,,,,,,,,,,,,,,,,47.84,9.62,2016/04/14 19:50:00
,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,10.00,,,83.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,2016/04/14 19:51:00
,59.54,55.00,7.61,30.56,,,,,,,,,,,,,,,47.00,17.90,60.62,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,33.00,,,,3.00,,,,,,,,84.74,,,,,,,,,,45.00,,,,,,,,,,,,,,,,,,,,,48.20,5.59,2016/04/14 20:00:00
,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,10.00,,,82.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,2016/04/14 20:01:00
,59.90,40.00,12.08,30.92,,,,,,,,,,,,,,,42.00,18.12,60.62,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,33.00,,,,3.00,,,,,,,,84.38,,,,,,,,,,69.00,,,,,,,,,,,,,,,,,,,,,48.56,11.86,2016/04/14 20:10:00
,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,10.00,,,82.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,2016/04/14 20:11:00
,60.44,95.00,10.74,30.92,,,,,,,,,,,,,,,82.00,18.34,60.80,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,32.00,,,,3.00,,,,,,,,83.48,,,,,,,,,,109.00,,,,,,,,,,,,,,,,,,,,,48.74,7.61,2016/04/14 20:20:00
,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,10.00,,,82.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,2016/04/14 20:21:00
,59.90,40.00,11.41,31.46,,,,,,,,,,,,,,,67.00,16.11,60.98,33.44,2016/04/11 10:05:09,,2016/04/11 10:00:53,2.00,33.00,,,,3.00,,,,,,,,83.30,,,,,,,,,,45.00,,,,,,,,,,,,,,,,,,,,,48.56,10.07,2016/04/14 20:30:00
,61.88,,,32.54,,,,,,,,,,,,,,,,,62.60,34.34,,,,,33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/04/14 19:00:00
,,,,,,,,,,,,,,,,0.82,,,,,,,,3.00,,,,,,,10.00,,,,,,,,100.91,,,,,,,,,,,,,,53.94,,,,,,,,,,2000.00,,,0.00,,,,,,2016/04/14 19:01:00
,61.52,,,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.48,,2016/04/14 19:10:00
,,,,,,,,,,,,,,,,0.82,,,,,,34.34,,3.00,,,31.00,,,,10.00,,,,,,,,100.78,,,,,,,,,,,,,,54.01,,,,,,,,,,2000.00,,,0.00,,,,,,2016/04/14 19:11:00
,62.42,,,31.64,,,,,,,,,,,,,,,,,63.32,34.34,,3.00,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,48.02,,2016/04/14 19:20:00
,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,10.00,,,,,,,,101.00,,,,,,,,,,,,,,54.09,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:21:00
,62.78,,,31.46,,,,,,,,,,,,,,,,,63.32,34.34,,3.00,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,48.02,,2016/04/14 19:30:00
,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,10.00,,,,,,,,100.76,,,,,,,,,,,,,,54.16,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:31:00
,62.78,,,31.64,,,,,,,,,,,,,,,,,63.68,34.34,,3.00,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,48.02,,2016/04/14 19:40:00
,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,10.00,,,,,,,,100.69,,,,,,,,,,,,,,54.25,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:41:00
,62.60,,,31.46,,,,,,,,,,,,,,,,,63.68,34.34,,3.00,,,33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,48.02,,2016/04/14 19:50:00
,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,10.00,,,,,,,,100.83,,,,,,,,,,,,,,54.34,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:51:00
,63.32,,,32.54,,,,,,,,,,,,,,,,,63.68,34.34,,3.00,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,48.74,,2016/04/14 20:00:00
,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,10.00,,,,,,,,100.73,,,,,,,,,,,,,,54.43,,,,,,,,,,,,,0.00,,,,,,2016/04/14 20:01:00
,63.86,,,33.98,,,,,,,,,,,,,,,,,63.86,34.34,,3.00,,,32.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,49.46,,2016/04/14 20:10:00
,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,10.00,,,,,,,,100.39,,,,,,,,,,,,,,54.52,,,,,,,,,,,,,0.00,,,,,,2016/04/14 20:11:00
,62.96,,,32.54,,,,,,,,,,,,,,,,,64.04,34.34,,3.00,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,,,,,48.56,,2016/04/14 20:20:00
,62.60,105.00,15.88,30.92,,,,,,,,,,,,,,,76.00,20.80,63.86,35.60,,,,2.00,30.00,,,,3.00,,3.00,,,,,,93.74,,92.84,,,,,,,,91.00,53.96,,,,,,,,,,,,,,,,,,,,50.18,19.91,2016/04/14 19:00:00
,63.32,80.00,16.78,30.92,,,,,,,,,,,,,,,90.00,24.83,63.86,35.60,,,,2.00,29.00,,,,3.00,,3.00,,,,,,93.56,,92.48,,,,,,,,93.00,54.14,,,,,,,,,,,,,,,,,,,,50.54,13.65,2016/04/14 19:10:00
,62.78,110.00,17.00,30.38,,,,,,,,,,,,,,,93.00,23.71,64.22,35.60,,,,2.00,29.00,,,,3.00,,3.00,,,,,,93.56,,92.48,,,,,,,,110.00,54.14,,,,,,,,,,,,,,,,,,,,50.18,17.00,2016/04/14 19:20:00
